,bbox_west,bbox_south,bbox_east,bbox_north
PtMacquarie_2022_2_GM,152.64064,-31.50820791,152.941144,-31.38061427
PtMacquarie_2022_2_GM_CIR,152.64064,-31.50820791,152.941144,-31.38061427
Singleton_2022_1_GM,151.0921328,-32.63635489,151.2206213,-32.50372332
Singleton_2022_1_GM_CIR,151.0921328,-32.63635489,151.2206213,-32.50372332
SnowyHydro_2022_1_GM,148.3904203,-36.49956029,148.8697236,-35.62288506
Snowy_Hydro_2022_2_GM,148.3904154,-36.49957297,148.8697183,-35.6228979
Sydney_2022_1_GM,150.9232542,-34.02916652,151.2792939,-33.72902812
Sydney_2022_4_GM,151.0014782,-34.10665663,151.2733327,-33.94365929
Sydney_2022_4_GM_CIR,151.0014782,-34.10665663,151.2733327,-33.94365929
Sydney_2022_6_GM,150.9428266,-33.96450972,151.3206035,-33.7211087
Sydney_2022_6_GM_CIR,150.9428266,-33.96450972,151.3206035,-33.7211087
Sydney_East_2022_1_GM,150.9372803,-34.02389501,151.3313537,-33.7235194
Sydney_FarNW_2022_2_GM,150.5679893,-33.76483788,150.8492897,-33.47890863
Sydney_FarWest_2022_2_GM,150.543622,-33.96218445,150.9560661,-33.7158981
Sydney_NE_2022_2_GM,151.1041077,-33.75164404,151.3735035,-33.55258859
Sydney_North_2022_3_GM,150.8382644,-33.7438933,151.1089157,-33.47985154
Sydney_NW_2022_1_GM,150.5797979,-33.7504547,150.8692936,-33.48322102
Sydney_SE_2022_1_GM,150.9919687,-34.11695981,151.2534728,-33.96391403
Sydney_South_2022_2_GM,150.9281265,-34.12175756,151.3233259,-33.71347757
Sydney_South_2022_3_GM,150.7546582,-34.15638685,151.0080995,-33.92195938
Sydney_SW_2022_1_GM,150.5417369,-34.00498391,150.8014369,-33.93255148
Tamworth_2022_1_GM,150.8171506,-31.19806182,151.0069635,-30.99140661
Tamworth_Kootingal_2022_1_GM,150.8126796,-31.16323185,151.1080739,-30.99135398
Tamworth_Kootingal_2022_1_GM_CIR,150.8126796,-31.16323185,151.1080739,-30.99135398
Tweed_2022_1_GM,153.3198048,-28.4317037,153.5907895,-28.2595762
